method,turn,n_sessions,state_latency_mean,state_latency_std,compressed_latency_mean,compressed_latency_std,state_ppl_mean,state_ppl_std,compressed_ppl_mean,compressed_ppl_std,original_size_kb_mean,original_size_kb_std,compressed_size_kb_mean,compressed_size_kb_std,ppl_delta,latency_delta,latency_speedup,compression_ratio
baseline,1,161,0.5755813236186362,0.5602179060739054,0.5755813236186362,0.5602179060739054,33.80645999190167,38.32103279007297,33.80645999190167,38.32103279007297,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,2,142,0.7026537387651509,0.6714050069238048,0.7026537387651509,0.6714050069238048,32.96112184894133,26.86786562608271,32.96112184894133,26.86786562608271,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,3,161,0.634609407427148,0.6635318097085385,0.634609407427148,0.6635318097085385,28.46993464290171,23.961526881967373,28.46993464290171,23.961526881967373,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,4,142,0.7516379878646366,0.7203134160192463,0.7516379878646366,0.7203134160192463,29.827058788298753,28.384830500981387,29.827058788298753,28.384830500981387,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,5,161,0.6172005589154798,0.6489307337239247,0.6172005589154798,0.6489307337239247,30.08662129103604,31.161405928757887,30.08662129103604,31.161405928757887,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,6,142,0.7794150311932703,0.7445934887809758,0.7794150311932703,0.7445934887809758,32.21253917871737,32.12553739845241,32.21253917871737,32.12553739845241,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,7,161,0.6600000885407793,0.6949771700496822,0.6600000885407793,0.6949771700496822,36.9113942262532,41.039001546744004,36.9113942262532,41.039001546744004,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,8,142,0.8357389599255378,0.7893642794016148,0.8357389599255378,0.7893642794016148,41.47067799079565,49.357546285489526,41.47067799079565,49.357546285489526,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,9,100,0.6362950059492141,0.643771413389356,0.6362950059492141,0.643771413389356,42.65884939754477,47.7488516497942,42.65884939754477,47.7488516497942,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,10,130,0.7935248619267861,0.7638178806358059,0.7935248619267861,0.7638178806358059,46.407470779295856,70.8461753544688,46.407470779295856,70.8461753544688,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,11,72,0.6284532091813162,0.7031291085097651,0.6284532091813162,0.7031291085097651,43.27570431831941,49.336556495378304,43.27570431831941,49.336556495378304,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,12,115,0.7721831520249987,0.7961452617231465,0.7721831520249987,0.7961452617231465,44.0262828372421,44.646241129585825,44.0262828372421,44.646241129585825,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,13,46,0.7140912586600399,0.9337679920942039,0.7140912586600399,0.9337679920942039,39.52023627197952,43.47371777148403,39.52023627197952,43.47371777148403,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,14,96,0.8482019915924562,0.9414175371007956,0.8482019915924562,0.9414175371007956,49.651586103691336,52.54080820928419,49.651586103691336,52.54080820928419,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,15,27,0.6473655293488668,0.6920104656102459,0.6473655293488668,0.6920104656102459,34.51147999198191,35.34973540377683,34.51147999198191,35.34973540377683,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,16,78,0.8284645607300962,0.8934025003855035,0.8284645607300962,0.8934025003855035,52.91850294417319,50.207222265957185,52.91850294417319,50.207222265957185,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,17,6,0.7566705131903291,1.0185095742845867,0.7566705131903291,1.0185095742845867,13.971931639687652,20.403347394609106,13.971931639687652,20.403347394609106,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,18,65,0.7667899034845714,0.7642512591447853,0.7667899034845714,0.7642512591447853,53.60667664291986,53.30301325540442,53.60667664291986,53.30301325540442,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,20,54,0.7446404409819041,0.7275840112979722,0.7446404409819041,0.7275840112979722,61.01150589773096,69.21362922267724,61.01150589773096,69.21362922267724,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,22,41,0.7946471213817414,1.0179917391812405,0.7946471213817414,1.0179917391812405,64.78035504908065,76.6497511550132,64.78035504908065,76.6497511550132,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,24,30,0.7993141617160291,0.7933585357946763,0.7993141617160291,0.7933585357946763,79.07644581900901,111.05309329489512,79.07644581900901,111.05309329489512,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,26,22,0.6983018412508748,0.5476842093959492,0.6983018412508748,0.5476842093959492,109.66003403105982,133.42064313558936,109.66003403105982,133.42064313558936,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,28,16,0.6339190934377257,0.40878471926989174,0.6339190934377257,0.40878471926989174,189.8106675068633,243.14441060740563,189.8106675068633,243.14441060740563,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
baseline,30,6,0.5004858289224406,0.21514433702670926,0.5004858289224406,0.21514433702670926,417.7806081120141,546.5443417900119,417.7806081120141,546.5443417900119,19106.0283203125,0.0,19106.0283203125,0.0,0.0,0.0,1.0,1.0
ae_1024,1,161,0.5755813236186362,0.5602179060739054,0.5163448726272454,0.30402945231752804,33.80645999190167,38.32103279007297,48.85035226922691,65.04695966962214,19106.0283203125,0.0,2.0,0.0,15.043892277325241,-0.059236450991390854,1.114722647849656,9553.01416015625
ae_1024,2,142,0.7026537387651509,0.6714050069238048,0.5673745437787557,0.303489483119906,32.96112184894133,26.86786562608271,41.15443134116113,38.09754943402602,19106.0283203125,0.0,2.0,0.0,8.193309492219797,-0.13527919498639518,1.2384301454299058,9553.01416015625
ae_1024,3,161,0.634609407427148,0.6635318097085385,0.5376497582121758,0.39326907137529227,28.46993464290171,23.961526881967373,43.49225046528114,40.83459070797762,19106.0283203125,0.0,2.0,0.0,15.02231582237943,-0.09695964921497224,1.1803397987890631,9553.01416015625
