turn,baseline_latency,state_latency,txt_size_kb,pt_size_kb
0,5.808300100004999,5.808300100004999,7.4501953125,2310.2802734375
1,6.528080500000215,0.3092026799989981,7.7646484375,2309.5927734375
2,6.775445899998886,0.6227810199998203,8.4091796875,2309.5927734375
3,6.564917799994873,0.3337030600028811,8.783203125,2309.5927734375
4,6.9992343000049,0.5137132599993492,9.3779296875,2309.5927734375
5,7.396302200002538,0.39403631999884964,9.7822265625,2309.5927734375
6,8.676315199998498,0.8595541400005459,10.51171875,2309.5927734375
7,9.193436499997915,0.3654638200008776,10.8857421875,2309.5927734375
8,12.529647299998032,1.0028219399988303,11.6513671875,2309.5927734375
9,12.778322999998636,0.42503902000025845,12.052734375,2309.5927734375
10,12.965015499998117,0.9474149399989983,13.0341796875,2309.5927734375
11,10.502856099999917,0.33319270000065443,13.396484375,2309.5927734375
12,10.731567800001358,0.8267367599968566,14.3623046875,2309.5927734375
13,12.338582500000484,0.41140078000171343,14.763671875,2309.5927734375
